time,open,high,low,close,volume
2026-08-13T22:40:00.000Z,4361.780,4362.810,4359.760,4360.550,1186
2026-08-13T22:45:00.000Z,4360.510,4361.230,4355.260,4355.690,1448
2026-08-13T22:50:00.000Z,4355.880,4357.690,4354.650,4356.340,1171
2026-08-13T22:55:00.000Z,4356.350,4356.630,4353.420,4354.880,1080
2026-08-13T23:00:00.000Z,4355.420,4355.420,4349.290,4349.630,1334
2026-08-13T23:05:00.000Z,4349.600,4359.710,4349.600,4359.400,1357
2026-08-13T23:10:00.000Z,4359.400,4360.600,4354.800,4360.600,1110
2026-08-13T23:15:00.000Z,4360.490,4361.310,4357.070,4358.450,1486
2026-08-13T23:20:00.000Z,4358.450,4361.210,4357.140,4360.430,937
2026-08-13T23:25:00.000Z,4360.450,4363.080,4359.950,4363.080,1137
2026-08-13T23:30:00.000Z,4363.480,4363.590,4361.010,4361.660,1044
2026-08-13T23:35:00.000Z,4361.620,4361.780,4360.260,4361.780,836
2026-08-13T23:40:00.000Z,4361.660,4362.380,4358.710,4360.310,1168
2026-08-13T23:45:00.000Z,4360.440,4364.150,4359.520,4361.600,1563
2026-08-13T23:50:00.000Z,4361.640,4361.640,4357.270,4357.880,1152
2026-08-13T23:55:00.000Z,4357.960,4359.560,4356.470,4356.470,987
2026-08-14T00:00:00.000Z,4356.420,4362.070,4355.690,4360.080,1806
2026-08-14T00:05:00.000Z,4360.090,4360.300,4354.130,4358.010,1781
